veh_trip_dtl_id,veh_trip_id,seq_no,time,lat,lng,alt,bearing,speed,accuracy,drv_distance,drv_duration,drv_speed,create_ts
26518716,25670,144,"2017-03-24 07:51:31",22.701786666666667,114.17500999999999,55.6,141.1,6.72588,4.18182,55651,136192,14,"2017-03-24 07:51:37"
26518717,25670,145,"2017-03-24 07:51:32",22.70175,114.17505000000001,55.4,141.46,6.09894,3.87879,56086,137302,13,"2017-03-24 07:51:37"
26518718,25670,146,"2017-03-24 07:51:33",22.701726666666666,114.17507333333333,55.5,140.07,5.02729,4.26923,56197,137594,13,"2017-03-24 07:51:37"
26518719,25670,147,"2017-03-24 07:51:34",22.70170666666667,114.17509166666666,55.3,135.04,3.84086,3.57692,56834,139305,15,"2017-03-24 07:51:37"
26518720,25670,148,"2017-03-24 07:51:35",22.701686666666667,114.175115,55.1,131.06,3.83571,3.53846,57145,140022,17,"2017-03-24 07:51:37"
26518721,25670,149,"2017-03-24 07:51:36",22.701665000000002,114.17514166666666,55,130.63,4.13579,3.69231,57777,141311,19,"2017-03-24 07:51:37"
26518722,25670,150,"2017-03-24 07:51:37",22.701641666666667,114.17517333333332,54.7,130.44,4.36587,3.84615,58040,141813,19,"2017-03-24 07:51:37"
26518753,25670,151,"2017-03-24 07:51:38",22.70161666666667,114.175205,54.4,132.4,4.63816,4,58800,143226,21,"2017-03-24 07:51:52"
26518754,25670,152,"2017-03-24 07:51:39",22.701591666666666,114.17524,54.1,131.46,4.91663,4.15385,59411,144203,25,"2017-03-24 07:51:52"
26518755,25670,153,"2017-03-24 07:51:40",22.701561666666667,114.17527666666668,53.8,131.84,5.30473,4.38462,60123,145177,28,"2017-03-24 07:51:52"
26518756,25670,154,"2017-03-24 07:51:41",22.70153,114.17532000000001,53.5,130.71,5.98982,4.76923,61065,146323,32,"2017-03-24 07:51:52"
26518757,25670,155,"2017-03-24 07:51:42",22.701491666666666,114.17536666666668,53.2,132.18,6.66874,4.09091,61694,147015,34,"2017-03-24 07:51:52"
26518758,25670,156,"2017-03-24 07:51:43",22.701443333333334,114.175415,52.9,136.89,7.23391,4.39394,62937,148281,37,"2017-03-24 07:51:52"
26518759,25670,157,"2017-03-24 07:51:44",22.70139,114.17547,52.5,137.61,8.13004,4.78788,64051,149344,39,"2017-03-24 07:51:52"
26518760,25670,158,"2017-03-24 07:51:45",22.701309999999996,114.17554,51.8,138.73,9.38236,5.33333,64343,149617,39,"2017-03-24 07:51:52"
26518761,25670,159,"2017-03-24 07:51:46",22.701236666666667,114.17560999999999,51.3,139.12,10.1786,3.74,65915,151057,38,"2017-03-24 07:51:52"
26518762,25670,160,"2017-03-24 07:51:47",22.70116833333333,114.17567499999998,50.8,139.65,10.1905,3.76,67252,152332,36,"2017-03-24 07:51:52"
26518763,25670,161,"2017-03-24 07:51:48",22.701103333333336,114.17574,50.2,139.46,10.0844,3.72,68078,153155,35,"2017-03-24 07:51:52"
26518764,25670,162,"2017-03-24 07:51:49",22.701035,114.17580333333332,49.7,140.19,9.79825,5.48485,68839,153935,34,"2017-03-24 07:51:52"
26518765,25670,163,"2017-03-24 07:51:50",22.70097333333333,114.175865,49.2,139.68,9.25316,5.24242,69811,154964,33,"2017-03-24 07:51:52"
